26
379	114	367	378	592	578	504	522	53	342	327	5	388	395	280	243	490	166	488	439	564	452	348	325	173	57
311	585	315	152	454	47	509	165	337	140	462	317	331	472	211	409	547	186	369	655	269	650	391	14	187	511
132	602	32	434	321	274	526	469	425	483	533	389	588	663	584	498	199	239	63	411	541	284	287	561	203	372
387	519	313	538	587	176	649	347	560	417	393	478	622	408	572	376	225	353	83	87	605	406	422	510	623	447
370	639	456	93	381	214	473	575	58	397	227	128	590	658	415	591	418	310	374	71	674	200	354	626	534	131
184	529	484	583	445	9	260	620	666	400	661	56	305	562	141	441	471	17	264	543	664	360	241	350	433	496
281	113	124	238	136	610	668	92	209	637	641	486	355	614	89	414	461	267	41	297	477	383	257	512	255	662
643	135	272	216	612	70	667	236	320	453	390	537	79	645	629	289	309	75	371	528	465	556	508	45	99	363
380	178	19	506	290	224	319	487	35	485	494	223	557	351	21	616	493	275	615	638	580	603	431	450	539	185
206	489	277	392	127	170	162	78	329	112	222	123	554	167	183	436	119	644	90	120	594	608	546	630	101	192
336	382	116	558	1	356	555	617	333	416	288	291	476	150	64	304	15	307	468	435	54	599	190	252	653	7
474	282	341	188	298	482	568	46	174	240	407	428	29	145	647	86	16	85	105	598	501	548	308	37	577	361
232	76	172	68	621	302	399	44	606	49	410	36	627	421	566	334	146	346	130	628	673	13	205	368	467	635
619	449	285	247	579	423	330	586	23	8	273	659	499	10	30	569	455	524	33	413	444	646	109	651	386	607
55	604	213	12	565	420	394	479	497	570	536	352	34	671	244	601	77	43	642	324	237	126	492	364	675	405
148	335	384	544	154	550	67	545	464	516	377	328	359	349	161	11	323	665	654	296	66	25	438	233	531	182
597	218	595	262	156	259	278	306	295	396	159	582	640	552	217	503	676	160	115	147	231	563	91	340	60	94
220	513	163	3	301	245	500	168	248	221	230	549	254	530	207	553	518	672	50	42	189	253	502	345	466	279
567	143	20	551	600	401	26	507	268	403	72	385	228	633	27	357	609	18	636	573	138	22	39	427	256	73
38	451	212	80	271	299	535	652	258	164	448	215	84	495	593	517	202	149	314	118	98	613	208	632	74	177
229	61	195	197	104	265	657	338	249	559	589	106	129	532	198	540	520	157	312	226	426	523	276	266	373	4
2	65	133	358	171	412	459	660	631	144	97	624	292	151	193	542	375	100	179	481	261	191	437	235	51	111
300	366	250	316	117	514	618	95	121	180	59	362	458	210	242	521	246	81	440	515	656	505	611	108	576	463
343	460	196	103	201	204	24	419	107	527	31	322	480	344	263	571	283	443	175	110	286	634	525	88	96	491
424	574	6	28	365	82	398	125	457	153	430	52	169	142	137	293	326	194	581	625	294	432	48	134	404	219
155	669	470	62	429	122	251	139	303	446	102	402	332	442	648	670	40	339	234	318	69	270	596	158	181	475
